no;dyads;dY;dX;dyad1;dyad2
1;01-Feb;0.945525879;0.822010718;1;2
2;01-Mar;2.174487965;1.470780319;1;3
3;01-Apr;0.843218876;1.204986991;1;4
4;01-Mei;0.204227299;0.012343872;1;5
5;01-Jun;0.813894459;0.485556383;1;6
6;01-Jul;4.548209368;0.358261327;1;7
7;01-Agust;3.057239091;0.987721803;1;8
8;01-Sep;0.401573637;1.073443695;1;9
9;01-Okt;-0.961623586;0.478244203;1;10
10;01-Nop;2.40192065;0.130506746;1;11
11;01-Des;0.993809322;1.44493857;1;12
12;Jan-13;-0.433792239;0.023899044;1;13
13;Jan-14;3.320406464;0.090267132;1;14
14;Jan-15;3.561184618;0.866810377;1;15
15;Jan-16;2.03927396;1.823698468;1;16
16;Jan-17;2.673704621;0.978514365;1;17
17;Jan-18;2.532598431;1.682042806;1;18
18;Jan-19;2.898413852;2.46585349;1;19
19;Jan-20;3.322846914;1.993572882;1;20
20;Jan-21;0.728383071;0.324662354;1;21
21;Jan-22;1.142044782;0.648718777;1;22
22;Jan-23;4.750382932;1.686329886;1;23
23;Jan-24;2.421535754;0.332881729;1;24
24;Jan-25;0.413128504;1.076174214;1;25
25;Jan-26;2.156746975;1.61320673;1;26
26;Jan-27;3.348206043;2.754166718;1;27
27;Jan-28;1.916682015;0.287333101;1;28
28;Jan-29;1.74603811;0.065178286;1;29
29;Jan-30;3.682194362;2.498223861;1;30
30;Jan-31;4.599222641;1.718931807;1;31
31;Jan-32;-0.743841605;0.463693879;1;32
32;Jan-33;3.384812284;1.759249532;1;33
33;Jan-34;-0.288220398;1.585838725;1;34
34;Jan-35;1.461964194;0.035553132;1;35
35;Jan-36;0.481677468;0.378190256;1;36
36;Jan-37;4.041572683;0.483177121;1;37
37;Jan-38;2.695903921;1.326002757;1;38
38;Jan-39;3.829654233;1.170979304;1;39
39;Jan-40;3.609597823;2.422294825;1;40
40;Jan-41;4.695957672;2.420800156;1;41
41;Jan-42;0.309726862;0.814346646;1;42
42;Jan-43;1.672498412;0.817558074;1;43
43;Jan-44;0.253662884;1.180934186;1;44
44;Jan-45;3.242023474;0.961146105;1;45
45;Jan-46;0.802971589;0.358383643;1;46
46;Jan-47;2.400869444;1.411767689;1;47
47;Jan-48;1.886125588;0.712285364;1;48
48;Jan-49;2.796338371;0.730931345;1;49
49;Jan-50;0.357882196;0.556545663;1;50
50;Jan-51;0.003111049;0.410039249;1;51
51;Jan-52;3.52483617;1.79798533;1;52
52;Jan-53;0.523790098;0.251773733;1;53
53;Jan-54;2.08467902;2.141438492;1;54
54;Jan-55;4.548152662;3.176227177;1;55
55;Jan-56;4.936231364;0.837358979;1;56
56;Jan-57;3.265596039;1.546485006;1;57
57;Jan-58;2.873394714;1.541390355;1;58
58;Jan-59;3.638545968;1.216863435;1;59
59;Jan-60;4.486825361;0.465097721;1;60
60;Jan-61;2.268296033;1.418505997;1;61
61;Jan-62;1.895402795;1.217612019;1;62
62;Jan-63;2.932650524;2.292606974;1;63
63;Jan-64;1.425735509;1.077936609;1;64
64;Jan-65;2.591154275;1.536627296;1;65
65;Jan-66;2.255001123;0.935384983;1;66
66;Jan-67;2.586389458;0.380057611;1;67
67;Jan-68;4.625531188;2.030247983;1;68
68;Jan-69;0.861018706;1.79332685;1;69
69;Jan-70;2.994263901;1.734779905;1;70
70;Jan-71;2.476563861;1.26374737;1;71
71;Jan-72;-0.246479219;0.483278088;1;72
72;Jan-73;0.946303292;0.336095518;1;73
73;Jan-74;4.018837956;1.919502679;1;74
74;Jan-75;-0.691469247;0.007892285;1;75
75;Jan-76;1.561641274;1.5112811;1;76
76;Jan-77;4.044923333;1.463483589;1;77
77;Jan-78;3.807928256;0.912233868;1;78
78;Jan-79;1.475467148;0.736130749;1;79
79;Jan-80;-0.789364641;0.531881378;1;80
80;Jan-81;1.62675748;0.946790134;1;81
81;Jan-82;3.454418065;3.390243231;1;82
82;Jan-83;4.02377641;2.271982989;1;83
83;Jan-84;2.128998096;2.99352157;1;84
84;Jan-85;3.666346927;0.81631621;1;85
85;Jan-86;1.984078485;1.594042225;1;86
86;Jan-87;0.111814666;0.023303974;1;87
87;Jan-88;-0.230071537;1.111537476;1;88
88;Jan-89;0.057286149;0.398385228;1;89
89;Jan-90;3.072600122;1.942812043;1;90
90;Jan-91;3.246129857;2.390352537;1;91
91;Jan-92;2.029236247;1.200275413;1;92
92;Jan-93;3.73537125;1.152913026;1;93
93;Jan-94;3.050432246;1.659106134;1;94
94;Jan-95;2.932979262;0.204024737;1;95
95;Jan-96;2.372037665;0.402442264;1;96
96;Jan-97;1.777738524;1.043123731;1;97
97;Jan-98;2.301256732;0.804843074;1;98
98;Jan-99;3.534699226;2.029930055;1;99
99;1-100;0.985490142;1.291715118;1;100
100;02-Mar;2.4172598;2.292791038;2;3
101;02-Apr;1.029248521;2.02699771;2;4
102;02-Mei;0.201778543;0.834354591;2;5
103;02-Jun;1.559703967;1.307567102;2;6
104;02-Jul;1.216502115;1.180272046;2;7
105;02-Agust;4.039175351;1.809732522;2;8
106;02-Sep;0.685144061;1.895454414;2;9
107;02-Okt;0.719859246;1.300254921;2;10
108;02-Nop;0.817135948;0.691503972;2;11
109;02-Des;1.903151631;2.266949288;2;12
110;Feb-13;-1.008205578;0.798111674;2;13
111;Feb-14;1.513522275;0.731743587;2;14
112;Feb-15;2.901368403;1.688821095;2;15
113;Feb-16;2.494065262;2.645709186;2;16
114;Feb-17;0.971191397;0.156503646;2;17
115;Feb-18;-0.285444847;2.504053525;2;18
116;Feb-19;0.69475319;3.287864208;2;19
117;Feb-20;1.809138009;2.815583601;2;20
118;Feb-21;1.412518805;1.146673072;2;21
119;Feb-22;3.087432069;1.470729495;2;22
120;Feb-23;3.57651729;2.508340605;2;23
121;Feb-24;2.022745245;1.154892447;2;24
122;Feb-25;1.245281351;1.898184933;2;25
123;Feb-26;2.092368248;2.435217448;2;26
124;Feb-27;2.91463793;3.576177436;2;27
125;Feb-28;0.810971376;1.109343819;2;28
126;Feb-29;-0.500412711;0.756832432;2;29
127;Feb-30;4.323206279;1.676213143;2;30
128;Feb-31;2.905613592;2.540942526;2;31
129;Feb-32;-0.019108251;1.285704597;2;32
130;Feb-33;3.223044252;2.581260251;2;33
131;Feb-34;0.294298636;2.407849443;2;34
132;Feb-35;1.806458611;0.857563851;2;35
133;Feb-36;-0.042071971;0.443820463;2;36
134;Feb-37;4.543389576;1.30518784;2;37
135;Feb-38;1.634962842;2.148013476;2;38
136;Feb-39;2.522441098;1.992990023;2;39
